,state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn,lat,long
1863,TN,94,408,368-3117,yes,no,0,170.1,113,28.92,271.8,94,23.1,110.7,78,4.98,8.7,4,2.35,1,False,34.036822296085155,-84.59017832112939
1864,MA,69,510,352-5000,no,no,0,195.1,91,33.17,261.5,57,22.23,203.8,90,9.17,11.4,5,3.08,0,False,34.05897638073314,-84.5885265974505
1865,MI,146,408,405-7676,no,no,0,149.3,83,25.38,187.1,130,15.9,149.8,100,6.74,7.9,4,2.13,7,True,33.906902603010096,-84.73203061453927
1866,TX,119,510,361-2349,no,no,0,81.9,75,13.92,253.8,114,21.57,213.1,125,9.59,8.9,1,2.4,2,True,33.91336695211316,-84.74375913625776
1867,NH,142,408,383-2901,yes,yes,25,191.1,109,32.49,149.6,120,12.72,227.8,60,10.25,9.8,3,2.65,0,False,34.045551347435584,-84.58480804988747
1868,MD,123,408,369-7049,no,no,0,206.9,115,35.17,224.4,86,19.07,197.4,60,8.88,8.3,2,2.24,3,False,34.063306784631386,-84.59094463957032
1869,MS,101,408,387-5533,no,no,0,239.0,156,40.63,273.0,106,23.21,278.2,93,12.52,13.5,8,3.65,1,True,33.86450333193663,-84.7549680776259
1870,AZ,43,415,362-3660,no,no,0,179.3,97,30.48,252.7,126,21.48,227.5,114,10.24,8.0,5,2.16,0,False,34.03325744131152,-84.62339209034666
1871,IN,69,408,357-3577,no,no,0,185.3,91,31.5,219.1,88,18.62,243.6,107,10.96,5.5,5,1.49,0,False,34.03571965558541,-84.5773615342788
1872,NY,15,510,394-3312,yes,no,0,141.4,80,24.04,123.9,76,10.53,323.5,88,14.56,8.1,3,2.19,2,False,34.04939796618898,-84.61247932610857
1873,WI,107,510,395-8330,no,yes,25,248.6,91,42.26,119.3,115,10.14,194.3,83,8.74,12.0,1,3.24,1,False,34.041209547122996,-84.57850568380927
1874,WV,67,510,373-8895,no,no,0,152.5,131,25.93,252.4,107,21.45,185.4,104,8.34,4.9,3,1.32,2,False,34.03462127057152,-84.62869590865104
1875,NY,99,415,386-4581,no,no,0,145.6,102,24.75,230.9,87,19.63,181.5,86,8.17,11.4,7,3.08,1,False,34.05039493342552,-84.56899388183714
1876,OK,46,415,354-8191,no,no,0,164.2,116,27.91,196.2,153,16.68,236.1,119,10.62,8.1,1,2.19,1,False,34.015927002201146,-84.56301456760514
1877,NC,55,408,359-7562,yes,no,0,221.0,115,37.57,165.4,97,14.06,235.4,117,10.59,9.7,4,2.62,1,False,34.06308053589586,-84.60045038430232
1878,KY,39,415,359-4336,no,no,0,295.4,126,50.22,232.1,117,19.73,204.4,123,9.2,11.5,2,3.11,1,True,33.879500113275014,-84.72601512003175
1879,TX,92,510,336-9901,no,no,0,139.8,98,23.77,174.9,143,14.87,201.6,135,9.07,9.4,7,2.54,2,False,34.052512761594976,-84.58973462674656
1880,CT,56,415,406-3069,no,no,0,162.3,99,27.59,149.1,78,12.67,255.5,115,11.5,14.8,1,4.0,4,True,33.8629563368511,-84.75530816167704
1881,NE,76,415,334-6519,no,no,0,272.7,97,46.36,236.4,95,20.09,235.5,105,10.6,7.7,2,2.08,0,True,33.86408708181776,-84.74178650329155
1882,HI,132,408,361-8113,yes,yes,33,200.3,75,34.05,226.6,67,19.26,198.8,91,8.95,12.9,3,3.48,2,False,34.02698878354231,-84.60041051244482
1883,SC,140,510,347-9769,no,yes,28,157.1,77,26.71,172.4,97,14.65,184.5,94,8.3,11.1,9,3.0,1,False,34.040447852892015,-84.57763161176369
1884,AK,51,510,352-9130,yes,yes,12,135.8,60,23.09,200.6,134,17.05,192.4,98,8.66,12.3,7,3.32,2,False,34.05537578966937,-84.61627264261905
1885,SD,27,408,378-4557,no,no,0,236.7,110,40.24,231.9,92,19.71,164.7,85,7.41,12.7,6,3.43,1,False,34.06937042981776,-84.60746776949934
1886,ID,224,510,360-8919,no,no,0,111.4,133,18.94,175.0,66,14.88,217.2,106,9.77,5.5,6,1.49,3,False,34.04687668123725,-84.61254578950172
1887,OK,105,510,405-4109,yes,yes,28,156.1,89,26.54,107.1,114,9.1,167.7,95,7.55,14.7,3,3.97,0,True,33.88287855351658,-84.72256989889914
1888,WA,117,408,381-2498,no,no,0,191.1,93,32.49,282.8,56,24.04,84.8,118,3.82,12.0,4,3.24,2,False,34.06645067238716,-84.61125008108745
1889,SD,91,415,357-5696,no,no,0,153.0,123,26.01,141.1,127,11.99,171.5,76,7.72,10.3,15,2.78,1,True,33.887398452165385,-84.72251619018843
1890,OH,135,415,412-2947,no,no,0,218.8,123,37.2,242.8,64,20.64,85.8,80,3.86,10.3,3,2.78,4,False,34.04468404155145,-84.58420197841563
1891,VA,146,415,363-3571,no,no,0,205.4,101,34.92,134.9,77,11.47,310.5,83,13.97,10.3,2,2.78,3,False,34.06406563174543,-84.60445718009116
1892,WI,147,415,405-5403,yes,no,0,225.2,111,38.28,184.9,98,15.72,143.2,146,6.44,9.9,1,2.67,0,True,33.889409220078484,-84.71678157856184
1893,IN,68,510,330-9354,no,no,0,249.9,127,42.48,254.5,118,21.63,273.2,98,12.29,8.9,6,2.4,2,True,33.89256640959389,-84.73106267524858
1894,NM,68,408,396-7091,no,no,0,131.6,89,22.37,137.0,109,11.65,256.3,107,11.53,10.2,5,2.75,3,False,34.01847153239962,-84.58339924646741
1895,HI,86,408,398-3004,no,yes,21,197.9,99,33.64,165.6,100,14.08,208.0,120,9.36,10.1,9,2.73,0,False,34.03347135651968,-84.60995189094245
1896,KY,131,415,400-4020,no,no,0,166.5,129,28.31,210.2,107,17.87,257.2,93,11.57,9.9,5,2.67,1,False,34.04435558479566,-84.5744284015235
1897,OH,86,415,356-3448,no,yes,29,225.4,79,38.32,187.1,112,15.9,281.1,112,12.65,12.9,3,3.48,1,False,34.03520882683828,-84.59318549970196
1898,VT,159,415,335-2019,no,no,0,275.8,103,46.89,189.5,108,16.11,223.9,93,10.08,7.4,5,2.0,2,True,33.87270910812014,-84.78758933499093
1899,AZ,134,415,332-6633,no,yes,40,142.9,105,24.29,88.6,61,7.53,290.0,96,13.05,10.8,6,2.92,1,False,34.03657118880794,-84.58376589526252
1900,VT,113,510,359-7648,no,no,0,207.2,113,35.22,256.0,80,21.76,211.0,87,9.49,9.9,1,2.67,1,False,34.0672535925359,-84.58823859786345
1901,MO,132,408,412-9190,no,no,0,206.2,100,35.05,211.2,118,17.95,196.2,122,8.83,10.2,6,2.75,1,False,34.04659350899694,-84.56170267377725
1902,AL,85,415,368-9007,no,no,0,210.3,66,35.75,195.8,76,16.64,221.6,82,9.97,11.2,7,3.02,1,False,34.05575902393532,-84.55479549931935
1903,NJ,93,510,384-5632,yes,yes,38,225.7,117,38.37,119.6,122,10.17,193.2,125,8.69,14.0,7,3.78,1,True,33.869535874925305,-84.71690964856947
1904,WA,174,408,352-6068,no,yes,33,167.8,91,28.53,205.3,91,17.45,130.0,132,5.85,14.5,4,3.92,4,True,33.89602564778626,-84.7222058472748
1905,NY,61,415,343-9645,no,no,0,197.7,118,33.61,152.2,96,12.94,221.0,93,9.95,7.0,3,1.89,2,False,34.04023407879999,-84.56059114679192
1906,DC,91,415,384-7873,no,yes,39,169.8,105,28.87,65.2,116,5.54,144.4,92,6.5,10.9,4,2.94,1,False,34.05646064625414,-84.57550094363096
1907,NE,88,408,396-2187,no,yes,28,190.6,104,32.4,237.3,105,20.17,211.6,116,9.52,9.8,1,2.65,2,False,34.055912567835726,-84.59737983177565
1908,MA,88,408,383-5109,no,yes,45,80.3,140,13.65,153.3,101,13.03,309.2,123,13.91,12.8,3,3.46,2,False,34.05793484923789,-84.58239631090336
1909,VT,195,415,377-7843,no,yes,36,231.7,110,39.39,225.1,88,19.13,201.7,89,9.08,12.1,2,3.27,0,False,34.020933706336734,-84.60177656251231
1910,NM,182,415,382-7999,no,no,0,69.1,114,11.75,230.3,109,19.58,256.7,96,11.55,6.5,4,1.76,0,False,34.03609205924355,-84.56499818357565
1911,CO,118,408,328-1222,no,no,0,188.8,60,32.1,217.4,64,18.48,220.1,100,9.9,8.2,7,2.21,4,False,34.032712519507136,-84.59697314261324
1912,NH,103,408,371-1727,no,no,0,150.6,125,25.6,169.1,126,14.37,221.2,104,9.95,10.4,8,2.81,8,True,33.886031338684305,-84.77230922605462
1913,IL,65,510,369-8871,no,no,0,192.0,89,32.64,139.5,88,11.86,187.4,102,8.43,5.5,4,1.49,2,False,34.05166355092278,-84.60122244566006
1914,UT,61,408,335-9726,no,yes,25,163.7,78,27.83,113.2,112,9.62,134.1,118,6.03,9.9,3,2.67,3,False,34.0446939160604,-84.59325595766346
1915,WV,172,415,357-3709,no,no,0,211.7,100,35.99,198.7,101,16.89,301.7,136,13.58,6.5,9,1.76,1,False,34.05065665610054,-84.55318348179338
1916,NJ,72,415,422-9964,no,no,0,175.5,103,29.84,132.3,120,11.25,242.9,96,10.93,11.8,3,3.19,1,False,34.06125657596208,-84.57800177514846
1917,NM,113,510,366-9211,no,no,0,150.1,120,25.52,200.1,85,17.01,266.7,105,12.0,11.0,3,2.97,2,False,34.06375598807913,-84.57941174958447
1918,ND,177,408,384-9033,no,no,0,189.5,99,32.22,176.3,117,14.99,225.9,112,10.17,14.2,2,3.83,1,False,34.04430778501314,-84.5455152982622
1919,WA,100,408,382-4932,no,no,0,70.8,94,12.04,215.6,102,18.33,230.8,125,10.39,9.5,1,2.57,6,True,33.878396882338606,-84.78459321066302
1920,NM,67,415,404-7518,no,no,0,215.5,102,36.64,190.7,95,16.21,214.5,106,9.65,8.6,6,2.32,1,False,34.033662087406746,-84.59329134811738
1921,DE,136,415,353-1954,no,no,0,101.7,105,17.29,202.8,99,17.24,136.2,119,6.13,9.4,6,2.54,3,False,34.067890704669786,-84.60467048975295
1922,GA,71,415,391-7166,no,no,0,258.4,132,43.93,126.8,119,10.78,182.4,87,8.21,9.7,8,2.62,4,False,34.03822972371385,-84.56686480991799
1923,HI,134,408,370-9000,no,no,0,242.4,126,41.21,152.9,115,13.0,318.3,115,14.32,11.8,6,3.19,1,False,34.051652857245855,-84.56335716630532
1924,CT,124,415,332-3642,no,no,0,131.8,82,22.41,284.3,119,24.17,305.5,101,13.75,11.3,2,3.05,1,False,34.015309360792536,-84.57486556541447
1925,NJ,84,415,412-3898,no,no,0,190.2,102,32.33,197.7,141,16.8,247.5,102,11.14,9.8,6,2.65,2,False,34.03927469827235,-84.55899512454828
1926,ME,39,408,366-5640,no,no,0,154.1,104,26.2,204.2,112,17.36,196.2,92,8.83,9.8,4,2.65,2,False,34.03520344341858,-84.61154496590783
1927,OK,110,510,356-2302,no,no,0,188.0,127,31.96,90.5,118,7.69,150.3,64,6.76,15.3,3,4.13,3,False,34.049758581938555,-84.61489084779215
1928,TN,102,510,345-9018,no,no,0,103.1,70,17.53,275.0,129,23.38,141.1,92,6.35,11.2,5,3.02,1,False,34.03903161521952,-84.53392133969105
1929,WY,70,415,365-6205,no,no,0,175.4,130,29.82,159.5,130,13.56,260.6,96,11.73,11.6,4,3.13,0,False,34.04496612692672,-84.54705551741588
1930,NY,142,415,337-1151,no,no,0,145.4,93,24.72,209.1,98,17.77,214.0,96,9.63,10.9,1,2.94,1,False,34.04690514782472,-84.59460218770582
1931,DE,81,510,374-4664,yes,no,0,250.6,85,42.6,187.9,50,15.97,120.3,131,5.41,7.8,5,2.11,1,False,34.044489041709696,-84.5718748088789
1932,RI,17,415,396-9656,no,no,0,161.5,123,27.46,214.2,81,18.21,315.0,106,14.18,8.6,5,2.32,1,False,34.04099991989722,-84.56876491867256
1933,PA,119,408,377-5043,no,no,0,260.1,101,44.22,256.5,68,21.8,229.1,89,10.31,10.0,2,2.7,1,True,33.886936109650314,-84.70352404056963
1934,HI,105,415,401-7359,no,no,0,281.3,124,47.82,301.5,96,25.63,202.8,109,9.13,8.7,3,2.35,0,True,33.90174745358537,-84.74251684776418
1935,MD,108,415,375-2184,yes,yes,42,130.1,90,22.12,167.0,128,14.2,244.7,80,11.01,13.6,5,3.67,3,True,33.891753455093415,-84.74765156599473
1936,VA,90,415,367-6005,no,no,0,102.0,118,17.34,113.3,134,9.63,188.6,105,8.49,11.4,3,3.08,2,False,34.03734728381828,-84.56525542038722
1937,IN,100,415,364-2166,no,yes,33,218.7,104,37.18,155.0,144,13.18,99.0,117,4.46,12.1,4,3.27,1,False,34.039597290672624,-84.60285154426217
1938,OR,155,408,414-4741,no,yes,30,128.5,86,21.85,188.4,91,16.01,254.4,85,11.45,6.8,6,1.84,1,False,34.0603674144578,-84.63263030403601
1939,AZ,113,510,403-9719,no,no,0,128.7,100,21.88,227.1,67,19.3,178.1,135,8.01,9.2,4,2.48,2,True,33.85938923028185,-84.74863309934392
1940,WI,123,415,371-8452,no,no,0,172.2,92,29.27,162.6,76,13.82,250.3,101,11.26,8.7,4,2.35,1,False,34.02553915516205,-84.58585680800488
1941,VA,145,408,392-6239,no,no,0,199.2,124,33.86,126.0,86,10.71,289.2,135,13.01,7.6,3,2.05,1,False,34.05317557448904,-84.57635521683964
1942,MO,42,415,410-5250,no,no,0,184.5,98,31.37,200.5,93,17.04,279.2,91,12.56,8.8,3,2.38,2,False,34.04916027517212,-84.61715787852278
1943,NV,125,510,336-1574,no,no,0,168.6,99,28.66,175.6,107,14.93,243.3,92,10.95,10.9,7,2.94,0,False,34.04618365260889,-84.5915145648206
1944,HI,131,415,406-8324,no,yes,30,174.0,118,29.58,205.3,81,17.45,218.2,90,9.82,6.7,3,1.81,1,False,34.02749000243174,-84.59902953448656
1945,WA,107,415,411-7110,no,no,0,230.4,65,39.17,257.4,80,21.88,107.3,88,4.83,8.5,3,2.3,1,False,34.047138607249714,-84.59516119310477
1946,IL,48,408,341-9907,no,no,0,198.2,73,33.69,202.8,115,17.24,146.4,73,6.59,5.1,5,1.38,1,False,34.05723718168891,-84.55485354764323
1947,IL,76,510,400-8952,no,no,0,186.1,96,31.64,211.6,100,17.99,230.6,100,10.38,8.0,4,2.16,0,False,34.03429282524004,-84.59725758552008
1948,LA,128,415,333-9266,no,no,0,148.5,105,25.25,243.0,106,20.66,255.2,114,11.48,6.8,2,1.84,1,False,34.020153106442315,-84.55414512011056
1949,WI,73,415,419-4894,no,no,0,157.1,109,26.71,268.8,83,22.85,181.5,91,8.17,10.0,8,2.7,0,False,34.059384871561846,-84.60603500885901
1950,TX,52,415,364-9904,no,no,0,155.0,110,26.35,133.4,104,11.34,176.1,84,7.92,7.0,4,1.89,4,True,33.90377886392935,-84.75639780239536
1951,MI,126,415,394-3048,yes,yes,26,129.3,123,21.98,176.5,114,15.0,154.5,102,6.95,9.6,7,2.59,1,False,34.022153218657316,-84.57067722773968
1952,NC,124,415,352-6265,no,no,0,188.5,77,32.05,182.0,123,15.47,218.2,127,9.82,6.1,6,1.65,1,False,34.022800746207494,-84.57612313807728
1953,WA,137,408,357-3187,no,no,0,208.8,120,35.5,225.3,100,19.15,221.6,130,9.97,11.1,5,3.0,0,False,34.027844078889416,-84.58765165837964
1954,ND,71,510,373-8483,no,no,0,238.0,82,40.46,278.5,94,23.67,193.1,134,8.69,11.8,10,3.19,0,True,33.88145153516435,-84.74885615922949
1955,NE,139,415,375-9930,no,no,0,211.1,103,35.89,206.9,108,17.59,193.9,70,8.73,5.6,4,1.51,0,False,34.0304896678656,-84.58994238249491
1956,MS,107,510,352-6282,no,yes,30,198.9,87,33.81,207.0,90,17.6,159.8,76,7.19,12.6,4,3.4,3,False,34.04148001116951,-84.61540596448529
1957,KY,147,408,396-2945,no,no,0,212.8,79,36.18,204.1,91,17.35,156.2,113,7.03,10.2,2,2.75,1,False,34.04591825859485,-84.62827561490631
1958,RI,116,510,412-3527,no,no,0,137.4,126,23.36,120.0,94,10.2,130.3,64,5.86,12.4,2,3.35,3,False,34.04636082199244,-84.58193428418372
1959,NY,60,510,328-4231,no,yes,31,191.8,75,32.61,267.8,135,22.76,200.5,62,9.02,12.8,3,3.46,2,False,34.03038596063334,-84.59744496394013
1960,TX,38,510,413-9055,no,no,0,149.0,92,25.33,49.2,78,4.18,163.3,93,7.35,13.9,11,3.75,0,False,34.0371676935416,-84.55227754710374
1961,DE,63,408,363-8755,no,no,0,117.1,118,19.91,249.6,90,21.22,162.2,84,7.3,11.1,4,3.0,3,False,34.03577899427099,-84.60481072171171
1962,NM,94,415,388-8891,no,no,0,108.0,79,18.36,241.9,152,20.56,252.1,92,11.34,10.4,3,2.81,3,False,34.05438812809899,-84.60037997488394
1963,RI,131,415,360-1776,no,no,0,112.8,133,19.18,199.4,116,16.95,142.7,105,6.42,10.1,5,2.73,0,False,34.040277860504474,-84.54615519412258
1964,MS,158,510,411-3578,no,no,0,175.9,105,29.9,188.3,88,16.01,188.3,98,8.47,11.0,6,2.97,1,False,34.02783569412779,-84.6029894927857
1965,NY,139,510,399-7268,no,no,0,236.6,109,40.22,169.9,107,14.44,212.3,118,9.55,11.1,2,3.0,1,True,33.88682594453148,-84.69695124809671
1966,NE,77,415,350-1532,no,no,0,169.4,102,28.8,184.9,144,15.72,234.3,89,10.54,2.0,7,0.54,1,False,34.05079220665905,-84.63283646366355
1967,WI,140,415,359-2197,no,no,0,129.6,79,22.03,246.2,99,20.93,172.1,124,7.74,9.4,10,2.54,3,False,34.0636157655076,-84.56723938731601
1968,KY,72,408,407-9290,no,no,0,177.1,97,30.11,184.7,105,15.7,174.1,94,7.83,8.0,6,2.16,1,False,34.05280717624312,-84.58770142601725
1969,SD,52,510,358-6672,no,yes,20,133.3,63,22.66,184.1,123,15.65,272.9,107,12.28,13.5,2,3.65,1,False,34.047008943999494,-84.58464377276873
1970,VA,103,510,393-4621,no,no,0,167.8,121,28.53,212.9,123,18.1,208.2,73,9.37,13.0,3,3.51,5,False,34.063063861648594,-84.54323605337581
1971,KS,74,415,336-7357,no,yes,32,174.6,107,29.68,310.6,115,26.4,234.7,92,10.56,9.0,4,2.43,1,False,34.04514172605579,-84.5692614492987
1972,ND,124,415,351-1466,no,no,0,150.3,101,25.55,255.9,112,21.75,136.7,62,6.15,12.5,4,3.38,2,False,34.023366246170035,-84.60342438228881
1973,CO,85,510,394-6668,no,yes,21,283.2,110,48.14,239.7,108,20.37,149.5,80,6.73,6.3,1,1.7,5,False,34.02517539683885,-84.57241961588784
1974,KY,113,408,403-2673,no,yes,20,157.8,83,26.83,161.5,56,13.73,271.5,100,12.22,8.7,2,2.35,5,True,33.892317024121525,-84.75711609550882
1975,WA,71,408,355-1735,no,no,0,141.2,132,24.0,149.1,90,12.67,171.4,72,7.71,7.0,2,1.89,2,False,34.05596152075559,-84.59230421053078
1976,NV,177,415,416-7679,no,yes,27,230.2,106,39.13,196.1,78,16.67,215.4,108,9.69,10.4,2,2.81,1,False,34.026117342545824,-84.54731515615211
1977,SC,49,415,340-4972,yes,no,0,237.8,92,40.43,208.9,119,17.76,167.8,86,7.55,15.6,6,4.21,2,True,33.88618101367751,-84.74225516814327
1978,RI,106,510,417-4826,yes,no,0,204.0,84,34.68,168.5,61,14.32,164.0,102,7.38,13.3,3,3.59,3,True,33.8824254358104,-84.69203088516895
1979,ID,60,510,408-6676,no,no,0,221.1,106,37.59,178.6,48,15.18,202.7,90,9.12,7.4,3,2.0,1,False,34.042777975415525,-84.62513630134964
1980,KY,43,408,417-6683,no,no,0,177.2,93,30.12,142.6,60,12.12,314.1,144,14.13,12.7,2,3.43,4,False,34.037162726138206,-84.58118359565216
1981,ME,66,510,331-6270,no,no,0,118.0,133,20.06,248.1,99,21.09,214.4,122,9.65,5.3,5,1.43,1,False,34.017285870788285,-84.54841025731771
1982,SD,125,415,404-9754,no,no,0,163.8,73,27.85,255.6,85,21.73,192.9,95,8.68,15.7,4,4.24,0,False,34.04801122128997,-84.60295358446103
1983,SC,114,510,364-9425,no,yes,4,141.3,96,24.02,230.4,88,19.58,223.7,85,10.07,9.4,3,2.54,3,False,34.061456203786044,-84.60179988116275
1984,TN,112,415,339-6477,no,no,0,272.5,119,46.33,226.1,94,19.22,159.1,94,7.16,16.4,5,4.43,3,True,33.894076285035595,-84.69952591057107
1985,MT,101,408,362-2787,no,yes,16,118.9,112,20.21,228.3,97,19.41,180.1,111,8.1,8.2,5,2.21,2,False,34.049794933958715,-84.61938212024907
1986,WI,70,415,405-9233,no,no,0,7.9,100,1.34,136.4,83,11.59,156.6,89,7.05,12.1,1,3.27,0,False,34.04260469903565,-84.62156383668913
1987,AK,59,408,416-1845,no,no,0,159.5,96,27.12,167.2,123,14.21,138.6,106,6.24,10.2,4,2.75,0,False,34.038670274754146,-84.615423827248
1988,AZ,59,408,385-9657,no,no,0,150.2,70,25.53,185.7,98,15.78,212.5,128,9.56,12.1,2,3.27,1,False,34.028071286540936,-84.60363133127377
1989,MT,124,415,420-5652,no,yes,30,144.5,35,24.57,262.3,101,22.3,226.5,82,10.19,12.0,7,3.24,2,False,34.05707507346259,-84.62806422310672
1990,DE,99,415,415-1141,no,no,0,140.7,88,23.92,210.9,98,17.93,229.9,125,10.35,12.4,4,3.35,2,False,34.03248242403602,-84.61794815808766
1991,VA,150,510,334-5634,no,no,0,169.2,123,28.76,216.8,83,18.43,179.4,107,8.07,12.6,3,3.4,1,False,34.03659904065385,-84.61496416202182
1992,MA,81,510,403-4200,no,no,0,220.8,77,37.54,148.5,87,12.62,183.9,100,8.28,7.6,3,2.05,2,False,34.02604264246821,-84.54560608768348
1993,IN,86,510,357-7893,no,no,0,216.3,96,36.77,266.3,77,22.64,214.0,110,9.63,4.5,3,1.22,0,False,34.037671836021936,-84.61100502877643
1994,MD,84,510,369-2899,no,no,0,169.5,96,28.82,157.6,94,13.4,98.2,70,4.42,10.6,7,2.86,0,False,34.05578514901866,-84.6159277428749
1995,NV,118,510,381-1026,no,yes,35,256.3,119,43.57,258.1,91,21.94,215.5,130,9.7,11.7,1,3.16,1,False,34.03517669296229,-84.59103920556478
1996,CO,89,415,388-8722,no,no,0,179.7,128,30.55,299.8,92,25.48,185.3,120,8.34,7.6,3,2.05,1,False,34.04714007378455,-84.5764428407689
1997,KS,93,415,418-3135,no,no,0,266.0,120,45.22,130.1,84,11.06,165.8,63,7.46,13.1,6,3.54,3,False,34.0114197856266,-84.57855793861296
1998,AR,85,415,380-3974,no,no,0,96.7,97,16.44,193.8,95,16.47,171.7,88,7.73,9.7,3,2.62,2,False,34.03220180215151,-84.57272443716796
1999,WY,160,408,338-7232,no,no,0,82.7,116,14.06,194.6,95,16.54,159.0,54,7.15,10.9,9,2.94,0,False,34.02739154995957,-84.58578292655106
2000,PA,28,415,334-5223,no,no,0,168.2,87,28.59,161.7,92,13.74,192.4,112,8.66,10.1,3,2.73,3,False,34.03260221361967,-84.5792722159263
2001,TX,73,408,340-8323,no,no,0,286.4,109,48.69,178.2,67,15.15,214.2,152,9.64,10.7,14,2.89,1,True,33.87040130053925,-84.73922893964563
2002,NY,156,408,337-6851,no,no,0,174.3,95,29.63,186.6,128,15.86,258.2,105,11.62,12.9,5,3.48,3,False,34.05990527187458,-84.5730111240421
2003,OR,33,415,344-5973,yes,no,0,190.6,100,32.4,161.7,104,13.74,189.9,136,8.55,13.0,6,3.51,1,False,34.04641038769706,-84.5714335029801
2004,CA,77,510,335-2261,no,no,0,175.5,86,29.84,205.1,78,17.43,245.2,100,11.03,17.8,3,4.81,4,False,34.05330239428629,-84.552645618438
2005,NY,119,415,343-1458,no,no,0,133.4,102,22.68,204.6,71,17.39,196.9,103,8.86,11.1,7,3.0,1,False,34.02868141421327,-84.55663716365783
2006,AR,91,510,415-4875,no,yes,27,204.6,96,34.78,136.0,93,11.56,210.5,82,9.47,6.6,2,1.78,3,False,34.0599000576134,-84.62645020067293
2007,MI,102,510,381-2726,no,no,0,242.2,88,41.17,233.2,89,19.82,188.5,121,8.48,6.2,6,1.67,3,False,34.02447950169974,-84.55374605041294
2008,OK,86,415,395-3852,no,yes,33,253.1,112,43.03,210.1,94,17.86,95.0,98,4.27,11.9,4,3.21,3,False,34.03540734210078,-84.58391117631749
2009,TX,82,415,358-7914,no,no,0,130.0,110,22.1,185.3,88,15.75,178.7,105,8.04,8.3,4,2.24,0,False,34.01966668648724,-84.58171354732094
2010,NC,89,408,332-6958,no,no,0,105.9,151,18.0,189.6,142,16.12,170.9,67,7.69,12.7,7,3.43,0,False,34.025930136364956,-84.5743736879377
2011,ID,86,415,355-1019,no,no,0,194.2,98,33.01,193.8,95,16.47,192.0,123,8.64,9.3,7,2.51,3,False,34.02776056176569,-84.56163403977997
2012,IL,134,408,382-9447,no,no,0,183.8,111,31.25,123.5,92,10.5,160.7,105,7.23,6.1,2,1.65,1,False,34.03980859516271,-84.60196183090129
2013,OR,92,415,386-8536,no,no,0,196.5,82,33.41,190.0,89,16.15,163.2,99,7.34,10.8,2,2.92,2,False,34.038456409699144,-84.59415550745503
2014,SD,87,510,363-3818,no,no,0,184.5,81,31.37,172.0,103,14.62,183.4,96,8.25,13.7,3,3.7,3,False,34.03343073152248,-84.58732184771559
2015,NE,64,408,360-6416,no,no,0,261.9,113,44.52,148.1,99,12.59,145.2,74,6.53,13.8,4,3.73,0,False,34.018534102004594,-84.59672460182108
2016,RI,80,510,332-8764,no,no,0,202.4,118,34.41,260.2,67,22.12,177.4,112,7.98,9.2,5,2.48,3,False,34.06224076746799,-84.6055140368581
2017,MD,165,415,398-4814,no,yes,39,167.4,113,28.46,172.7,94,14.68,192.6,113,8.67,9.5,4,2.57,3,False,34.05877358845198,-84.61341799984721
2018,ID,153,415,410-5963,no,yes,22,167.7,104,28.51,246.8,91,20.98,203.9,117,9.18,7.5,11,2.03,1,False,34.02966923976693,-84.60211594257231
2019,ME,41,415,399-6642,no,yes,30,191.7,109,32.59,193.0,86,16.41,149.4,93,6.72,11.1,4,3.0,1,False,34.02524340190509,-84.59085166887844
2020,SD,108,415,390-9986,no,no,0,240.2,78,40.83,230.3,109,19.58,217.0,83,9.76,5.2,1,1.4,2,False,34.02816781359749,-84.60202628167261
2021,NY,104,415,391-1793,no,yes,26,189.1,112,32.15,178.2,97,15.15,199.3,104,8.97,11.1,4,3.0,1,False,34.05381816591554,-84.53754004258249
2022,DE,115,408,352-5542,no,no,0,127.7,67,21.71,182.9,90,15.55,172.9,92,7.78,10.6,7,2.86,1,False,34.038415678800995,-84.57386362300669
2023,OK,87,415,386-8118,no,no,0,205.2,106,34.88,99.5,122,8.46,189.5,75,8.53,13.4,3,3.62,1,False,34.02122897929493,-84.6006742385966
2024,SC,159,415,394-9825,no,yes,23,153.6,93,26.11,216.9,88,18.44,161.3,91,7.26,12.6,3,3.4,2,False,34.059406991443836,-84.59740021121155
2025,IN,119,510,382-4952,no,no,0,154.5,129,26.27,193.6,87,16.46,180.9,145,8.14,13.4,3,3.62,2,False,34.04567733746668,-84.58366801435498
2026,NV,69,415,387-2698,no,no,0,153.7,109,26.13,194.0,105,16.49,256.1,114,11.52,14.1,6,3.81,1,False,34.038371729357166,-84.61959875375126
2027,IL,87,408,417-1360,yes,yes,36,171.2,138,29.1,185.8,102,15.79,227.6,97,10.24,10.8,3,2.92,1,False,34.030066233116024,-84.57761189132152
2028,SD,93,510,408-4836,no,no,0,328.1,106,55.78,151.7,89,12.89,303.5,114,13.66,8.7,3,2.35,1,True,33.88079447709905,-84.7270882763453
2029,OK,154,415,374-8329,yes,no,0,145.9,69,24.8,208.2,141,17.7,180.9,106,8.14,14.4,10,3.89,0,True,33.870577219818145,-84.74378793520246
2030,KS,57,415,363-8424,no,yes,37,201.2,76,34.2,280.1,122,23.81,154.2,110,6.94,11.8,1,3.19,1,False,34.06003139482892,-84.5618541141581
